,antecedent,consequent,support,confidence
108,[60],[27],0.037319226014203156,0.2790797677918727
109,"[57, 60]",[27],0.03211523532963399,0.3430589680589681
110,[60],[27],0.037319226014203156,0.2790797677918727
111,"[60, 64]",[27],0.026767487996319828,0.2614434147711317
112,[24],[28],0.09559817141542797,0.6699576868829337
113,"[2, 24]",[28],0.09096920732583882,0.7911977994498625
114,[24],[28],0.09559817141542797,0.6699576868829337
115,"[24, 34]",[28],0.07826111957678043,0.856783128737803
116,[18],[29],0.11305022857307151,0.719487648673376
117,"[18, 41]",[29],0.08202754377389954,0.7427753189273626
118,[18],[29],0.11305022857307151,0.719487648673376
119,"[18, 36]",[29],0.08990540812512579,0.7807740324594258
120,[67],[30],0.12230815675224979,0.8822065532973871
121,"[33, 67]",[30],0.11457404904976855,0.9378677335843728
122,[67],[30],0.12230815675224979,0.8822065532973871
123,"[12, 67]",[30],0.10554613150858227,0.9095639246778989
124,[6],[31],0.10485609959460625,0.8006586169045006
125,"[6, 21]",[31],0.09499439349069895,0.9278292614434148
126,[6],[31],0.10485609959460625,0.8006586169045006
127,"[6, 39]",[31],0.09128547195307783,0.9327262044653349
128,[38],[32],0.14257784422529543,0.8770781747435444
129,"[20, 38]",[32],0.10617866076306029,0.9304610733182161
130,[38],[32],0.14257784422529543,0.8770781747435444
131,"[38, 43]",[32],0.10235473390644317,0.9109518935516888
132,[30],[33],0.13375118599235214,0.8058201974709855
133,"[30, 31]",[33],0.11175641873436647,0.9480487804878048
134,[30],[33],0.13375118599235214,0.8058201974709855
135,"[30, 67]",[33],0.11457404904976855,0.9367653972731547
136,[24],[34],0.09134297461257583,0.6401370139028812
137,"[2, 24]",[34],0.08849659296742474,0.7696924231057763
138,[24],[34],0.09134297461257583,0.6401370139028812
139,"[24, 30]",[34],0.08950288950863977,0.7120311070448307
140,[6],[35],0.11460280037951755,0.8750823271130626
141,"[6, 39]",[35],0.09151548259106984,0.9350763807285547
142,[6],[35],0.11460280037951755,0.8750823271130626
143,"[6, 31]",[35],0.09510939880969495,0.9070468878530299
144,[18],[36],0.11514907564474856,0.7328453796889295
145,"[18, 41]",[36],0.09163048791006584,0.8297318406664931
146,[18],[36],0.11514907564474856,0.7328453796889295
147,"[18, 19]",[36],0.027572525229291853,0.7545239968528717
148,[28],[37],0.08930163020039676,0.8544704264099037
149,"[23, 28]",[37],0.08358011558034559,0.8983312731767614
150,[28],[37],0.08930163020039676,0.8544704264099037
151,"[24, 28]",[37],0.08427014749432162,0.8815037593984962
152,[32],[38],0.14257784422529543,0.7056061468412067
153,"[20, 32]",[38],0.10617866076306029,0.8794951178852107
